*Disappearing Nodes
604
610
803
691
23
121
179
275
957
535
40
669
532
839
860
911
919
940
282
359
480
521
584
655
78
95
595
206
129
428
457
542
560
642
599
898
925
656
788
285
373
400
301
675
347
391
490
241
520
641
278
314
328
705
440
707
538
#End Disappearing Nodes

*Newborn Nodes
#End Newborn Nodes

*Disappearing Edges
1	86
1	181
1	202
1	265
86	84
86	99
86	134
86	146
86	165
86	181
86	183
86	202
86	265
99	68
99	181
99	202
99	265
134	68
134	202
134	265
146	68
146	181
146	202
146	265
165	68
165	181
165	202
165	265
181	68
181	84
181	183
181	193
181	202
181	265
183	68
183	202
183	265
193	68
193	202
193	265
202	68
202	265
265	68
265	84
2	604
2	610
2	725
2	789
2	803
2	804
2	810
2	845
2	846
604	3
604	40
604	95
604	245
604	440
604	595
604	620
604	642
604	691
604	725
604	751
604	767
604	778
604	783
604	803
604	810
604	845
604	846
610	3
610	40
610	129
610	440
610	448
610	620
610	642
610	691
610	751
610	767
610	778
610	783
610	789
610	803
610	804
610	810
610	845
610	846
725	129
725	197
725	245
725	397
725	440
725	448
725	595
725	620
725	642
725	669
725	691
725	767
725	778
725	783
725	789
725	803
725	804
725	810
725	845
725	846
767	40
767	78
767	141
767	245
767	397
767	440
767	448
767	595
767	620
767	642
767	669
767	691
767	751
767	778
767	783
767	789
767	803
767	804
767	810
767	845
767	846
789	3
789	95
789	101
789	129
789	197
789	245
789	448
789	595
789	642
789	669
789	691
789	751
789	778
789	783
789	803
789	804
789	810
803	3
803	78
803	95
803	101
803	129
803	141
803	197
803	397
803	440
803	448
803	595
803	642
803	669
803	691
803	751
803	778
803	783
803	804
803	810
803	845
803	846
804	40
804	95
804	101
804	129
804	141
804	245
804	397
804	440
804	595
804	620
804	642
804	669
804	691
804	751
804	778
804	845
804	846
810	3
810	40
810	78
810	101
810	141
810	245
810	397
810	440
810	595
810	620
810	642
810	669
810	751
810	778
810	845
810	846
845	3
845	40
845	78
845	95
845	101
845	129
845	197
845	245
845	440
845	448
845	595
845	642
845	669
845	691
845	751
845	778
845	783
846	3
846	40
846	78
846	95
846	101
